一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
AEROSET全自动生化分析仪,全自动生化分析仪,临床检验设备,1,0,1,19,57
AGILE食管支架,食管支架,消化道植入物,1,3,27,27,57
一体式CCU光纤光源,光纤光源,内窥镜设备,1,0,0,57,57
ALLEGRETTO WAVE 200Hz准分子激光系统,眼科准分子激光系统,眼科激光设备,1,0,52,5,57
AMPLATZER梗死后室间隔缺损封堵器,室间隔缺损封堵器,结构性心脏病介入器械,1,14,9,34,57
解剖型偏置锥形适配器,肩关节植入物,关节置换植入物,1,0,55,2,57
ANK C/X种植体A9.5/D3.5/L9,牙种植体,口腔植入物,1,0,57,0,57
APEX配药机,配药系统,药房设备,1,0,0,57,57
ARIS经闭孔吊带套件,尿道悬吊带,盆底修复植入物,1,0,57,0,57
ASKU植入式脉冲发生器,植入式脉冲发生器,心脏起搏器,1,4,47,6,57
西罗莫司洗脱冠状动脉支架,药物洗脱支架,冠状动脉支架,1,10,36,10,57
DC Bead 栓塞微球,栓塞剂,介入栓塞材料,1,13,27,0,57
Depuy CMW 骨水泥,骨水泥,骨科植入材料,1,0,17,40,57
Diamondback 外周轨道旋切系统,外周动脉旋切系统,外周血管介入器械,1,0,50,7,57
DLC 六角螺丝刀杆（万向）,髋关节手术器械,骨科手术器械,1,0,0,57,57
DOT 4Fr 中长导管,中长导管,血管通路器械,1,0,4,53,57
Durata STS Optim 主动固定除颤电极（DF4接口）,除颤电极,心脏节律管理器械,1,0,28,28,57
DX FiberTak 缝线锚钉（带针）,缝线锚钉,运动医学植入物,1,0,4,53,57
DXTend 肱骨垫片 +9mm,肩关节肱骨垫片,肩关节植入物,1,0,53,4,57
Dymic 动态植入物 6x8,动态植入物,骨科植入物,1,0,57,0,57
Dynagen 心脏再同步治疗除颤器,心脏再同步治疗除颤器,心脏节律管理器械,1,0,18,39,57
Dynasty 钴铬钼髋臼内衬,髋臼内衬,髋关节植入物,1,0,57,0,57
Echelon 内镜直线切割吻合器,内镜用直线切割吻合器,外科吻合器,1,0,3,51,57
EchoTip Ultra 超声内镜穿刺针,超声内镜穿刺针,内镜介入器械,1,0,1,56,57
EchoTip Ultra 高清超声穿刺针,超声穿刺针,穿刺活检器械,1,1,7,49,57
Element RC Inicell 牙种植体 PF6.0 E6.0 L9.5,牙种植体,口腔种植材料,1,0,57,0,57
Eluvia 药物洗脱支架（股浅动脉）,药物洗脱支架,外周血管支架,1,0,45,12,57
Emblem S-ICD 电极,皮下植入式除颤电极,心脏节律管理器械,1,0,50,7,57
Endopath ETS Compact Flex45 内镜关节头切割吻合器,内镜用关节头切割吻合器,外科吻合器,1,0,6,51,57
左心递送系统,心脏递送系统,心血管介入器械,1,2,11,44,57
股骨髁假体（骨水泥型）,膝关节假体组件,骨科植入物,1,0,53,4,57
膝关节试模/工具,膝关节手术器械,骨科手术器械,1,0,3,54,57
自动加湿湿化罐,呼吸湿化装置,呼吸治疗器械,1,0,1,56,57
铂金螺旋可解脱弹簧圈,血管栓塞弹簧圈,神经介入器械,1,0,10,47,57
带测温尿量计的福来导尿包,导尿包/套件,泌尿护理器械,1,0,0,57,57
延长管,输液管路,输液/注射器械,1,0,0,57,57
短期血管内导管,血管内导管,血管通路器械,1,0,1,56,57
无针输液接头,输液管路,输液/注射器械,1,0,0,57,57
1ml注射器带针,注射器,输液/注射器械,1,0,1,56,57
超细迷你笔式针头,注射针头,输液/注射器械,1,0,4,53,57
回血式采血针,采血针/采血器,血液采集器械,1,0,2,55,57
K3EDTA真空采血管,真空采血管,血液采集器械,1,0,0,57,57
氟化钠/EDTA真空采血管,真空采血管,血液采集器械,1,0,0,57,57
髋臼杯（金属对金属表面置换）,髋关节假体组件,骨科植入物,1,0,57,0,57
新冠抗原自测试剂盒（2人份）,新冠病毒检测试剂,体外诊断试剂,1,0,10,47,57
新冠抗原自测试剂盒,新冠病毒检测试剂,体外诊断试剂,1,0,3,54,57
生物科支架式猪瓣膜带Flexfit系统,生物瓣膜,心脏瓣膜假体,1,7,49,1,57
拜尔蒙特CC交叉平台75毫米,膝关节假体组件,关节置换假体,1,0,56,0,57
双水平气道正压A40系统银色日本版,无创呼吸机,呼吸支持设备,1,1,2,54,57
双极心内膜带电极导线,心内膜电极导线,心脏起搏与除颤电极,1,0,23,34,57
BIRPTR 2.3毫米缝线锚钉带Ultrab,非降解软组织固定锚,骨科内固定植入物,1,0,9,48,57
BL 3.3毫米窄颈SLActive 10毫米引导种植体,骨内牙种植体,牙科植入物,1,0,57,0,57
BLX 4.5毫米RB SLActive 18毫米种植体,骨内牙种植体,牙科植入物,1,0,57,0,57
乳房植入体,充注式乳房假体,乳房植入物,1,0,51,6,57
CADD-LEGACY 1输液泵,输液泵,输液治疗设备,1,0,3,54,57
CAPIOX RX25氧合器东方版,体外循环氧合器,心肺转流设备,1,1,3,53,57
卡迪瓦医疗VASCADE 6/7F血管闭合系统,血管闭合装置,血管介入器械,1,3,54,0,57
CLEO 90皮下输液套装,皮下输液管路,输液治疗设备,1,0,33,24,57
CM DRIVE钛种植体4.3x8毫米,骨内牙种植体,牙科植入物,1,0,57,0,57
CM TITAMAX种植体3.75x7毫米,骨内牙种植体,牙科植入物,1,0,57,0,57
凝血检查S系统,凝血检测试纸,体外诊断试剂,1,0,0,57,57
COBAS SARS-CoV-2及甲型/乙型流感检测试剂（用于COBAS 6800-8800系统）,新型冠状病毒核酸检测试剂,体外诊断试剂,1,0,0,57,57
COLLEAGUE CXE容量输液泵,输液泵,输液治疗设备,1,0,2,55,57
CORAIL2 LAT髋内翻股骨柄10号,非骨水泥髋关节股骨柄,关节置换假体,1,0,56,1,57
颅骨螺钉PlusDrive 1.6自钻L4,骨内固定螺钉,骨科内固定植入物,1,0,0,57,57
CRIT-LINE血液腔,血液透析血路,血液净化设备,1,0,0,57,57
植入式脉冲发生器（ENRHYTHM MRI）,植入式心脏起搏器/除颤器,心脏节律管理设备,1,2,50,5,57
动脉插管（EOPA）,心肺转流管路及插管,体外循环与心肺支持设备,1,1,10,46,57
植入式心脏起搏器（ESSENTIO MRI SR）,植入式心脏起搏器/除颤器,心脏节律管理设备,1,0,31,26,57
输卵管阻塞避孕装置（ESSURE）,输卵管阻塞装置,避孕与生殖健康器械,1,0,32,24,57
植入式吻合钉（ETS ARTIC LNR CUTR）,外科吻合器及钉仓,外科手术器械,1,0,4,53,57
一次性使用血管导引导管（FARADRIVE可调弯鞘）,血管导引导管及鞘,介入性心血管器械,1,0,5,52,57
植入式心脏电极导线（FINELINE II）,植入式心脏起搏/除颤电极,心脏节律管理设备,1,0,34,23,57
肢体加压套（FLOWTRON ACS900）,间歇充气加压装置,物理治疗与康复设备,1,0,13,44,57
脚踏开关（FMS VUE/NEXTRA）,手术器械控制附件,外科手术器械,1,0,0,57,57
高通量透析器（FX CORAL FX80）,血液透析器,血液净化与透析设备,1,0,17,40,57
冠状动脉球囊扩张导管（FX MINIRAIL RX）,冠状动脉球囊扩张导管,介入性心血管器械,1,0,49,8,57
骨内牙种植体（GM HELIX ACQUA）,牙种植体,口腔种植与修复器械,1,0,57,0,57
导管鞘/导引器（GORE DRYSEAL）,血管导引导管及鞘,介入性心血管器械,1,6,50,1,57
临时性血管内阻塞球囊导管（GORE）,血管内阻塞球囊导管,介入性心血管器械,1,3,51,3,57
血管移植物（GORE-TEX）,人工血管,血管外科植入物,1,2,55,0,57
血液透析浓缩液/粉（GRANUFLO）,透析液及浓缩物,血液净化与透析设备,1,47,10,0,57
可吸收软组织锚钉（Gryphon BR带ProKnot）,软组织固定锚钉,骨科植入物及固定系统,1,0,6,51,57
Günther Tulip 下腔静脉滤器（Mreye型）,下腔静脉滤器,血管介入器械,1,1,51,3,57
超声手术刀（Harmonic ACE 23cm 带人体工学手柄）,超声手术器械,外科能量设备,1,0,1,56,57
左心室辅助装置（HeartMate 3）,心室辅助装置,心脏辅助系统,1,1,56,0,57
除颤器（Heartstream XLT）,除颤器,急救及心脏复苏设备,1,5,0,52,57
心室辅助系统-驱动线缆（HeartWare）,心室辅助装置,心脏辅助系统,1,0,15,42,57
心室辅助系统-控制器1.0（HeartWare）,心室辅助装置,心脏辅助系统,1,2,0,55,57
骨内牙种植体（Helix NGM Acqua 2.9x14）,牙种植体,口腔科植入物,1,0,57,0,57
单腔Hickman植入式静脉输液港,植入式静脉输液港,血管通路器械,1,0,19,38,57
手控弯剪型超声手术器械（HS）,超声手术器械,外科能量设备,1,1,3,53,57
气管插管（Hudson CF 7.5）,气管插管,呼吸及麻醉气道管理,1,2,2,53,57
水凝胶涂层Percuflex胆道引流导管,胆道引流导管,消化介入器械,1,0,24,32,57
植入式脉冲发生器（Insignia I Plus SSIRO IS-1）,心脏起搏器,心脏节律管理设备,1,2,38,17,57
自动腹膜透析管路套装（带三叉卡匣）,腹膜透析管路及系统,肾脏替代治疗设备,1,0,0,56,57
血管内输液管路系统（Interlink）,输液管路及附件,输液治疗器械,1,0,0,57,57
植入式心律转复除颤器（Itrevia 7 VR-T DF4）,植入式心律转复除颤器,心脏节律管理设备,1,0,13,44,57
J-Vac球囊式伤口引流系统,伤口引流系统,外科引流及负压治疗,1,0,0,57,57
Journey II CR型膝关节假体（左股骨植入物带缓冲垫）,膝关节假体,骨科植入物及固定系统,1,0,3,54,57
K-Less T型绳带（带驱动，合成修复，不锈钢）,骨科固定及修复组件,骨科植入物及固定系统,1,0,5,52,57
可调节胃束带系统 9.75厘米,胃束带/减重手术器械,减重与代谢手术器械,1,0,9,48,57
可吸收缝合夹,可吸收植入夹,植入式缝合与闭合器械,1,0,5,50,57
骨内牙种植体 3.2mm直径x11mm长 3.0平台,牙种植体,口腔种植与修复器械,1,0,57,0,57
低流量输液加温器,输液加温器,输液与加温设备,1,0,0,57,57
高频呼吸机,高频呼吸机,呼吸支持设备,1,1,5,49,57
LigaSure Atlas 电外科闭合器,电外科闭合器械,电外科设备与附件,1,3,17,37,57
新生儿脉搏血氧仪,脉搏血氧仪,监护与生理参数设备,1,0,11,45,57
胫骨后稳定型模块化衬垫 5号 9mm,膝关节假体组件,关节置换假体,1,0,57,0,57
植入式心律转复除颤器 740 VR-T,植入式心律转复除颤器,心脏节律管理设备,1,1,19,36,57
钬激光手术系统 120H,钬激光手术系统,外科激光设备,1,0,4,53,57
耳鼻喉手术钻附件,耳鼻喉手术钻及附件,动力手术器械,1,0,0,57,57
髋臼杯 38mmx56mm,髋关节假体组件,关节置换假体,1,0,57,0,57
股骨头 38mm 模块化 9mm颈 无裙边,髋关节假体组件,关节置换假体,1,0,57,0,57
胫骨托 4号 骨水泥型 带龙骨,膝关节假体组件,关节置换假体,1,0,57,0,57
可吸收合成缝线（聚乙醇酸）,可吸收缝线,手术缝合材料,1,0,25,32,57
可吸收合成缝线 3-0 27英寸 带针,可吸收缝线,手术缝合材料,1,0,4,53,57
美敦力永久性除颤电极,心脏除颤电极,心脏节律管理设备,1,1,8,48,57
美敦力外科组织瓣膜,人工心脏瓣膜,心脏外科植入物,1,3,54,0,57
美瑞迪安腔静脉滤器系统,腔静脉滤器,血管介入器械,1,2,20,35,57
迷你洛克输液港穿刺针,输液港穿刺针,血管通路器械,1,0,1,56,57
美敦力快易套件60/6 SC1 MECA,胰岛素输注管路,胰岛素泵系统,1,0,3,54,57
美敦力快易套件46/6 SC1 MECA,胰岛素输注管路,胰岛素泵系统,1,0,17,40,57
美敦力舒尔T型接触分离式输注管路G29 80/6 SC1 MIMX,胰岛素输注管路,胰岛素泵系统,1,0,11,46,57
美科快缝III型关节镜缝合针,关节镜手术器械,骨科内镜器械,1,0,3,54,57
美敦力MMT-508胰岛素输注泵,胰岛素输注泵,胰岛素泵系统,1,3,12,42,57
莫比-C颈椎间盘假体15x17 H5 US,颈椎间盘假体,脊柱植入物,1,0,52,5,57
动量EL ICD DR植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,0,25,32,57
君主III型人工晶体植入系统卡匣-D,人工晶体植入系统,眼科手术器械,1,0,52,2,57
迈优珀免缝合心肌起搏电极54cm,心外膜起搏电极,心脏节律管理设备,1,0,25,32,57
30Gx1/2英寸皮下注射针,皮下注射针,注射穿刺器械,1,0,2,55,57
尼姆巴斯II型便携式输液泵,便携式输液泵,输液泵系统,1,0,0,57,57
纽瓦索COROENT腰椎椎间融合系统,腰椎椎间融合器,脊柱植入物,1,2,25,30,57
ORA系统带VerifEye通讯推车,眼科像差仪,眼科诊断设备,1,0,31,26,57
奥克斯麦克斯血氧仪,血氧仪,生理信号监测设备,1,1,0,56,57
太平洋Plus外周血管成形导管,外周血管成形导管,血管介入器械,1,4,9,44,57
500-BAS-SP-10自动体外除颤器包装,自动体外除颤器,心脏急救设备,1,0,0,57,57
帕拉迪姆实时胰岛素输注泵 MMT-522NAB,胰岛素输注泵,胰岛素给药装置,1,1,7,49,57
帕拉迪姆实时胰岛素输注泵 MMT-522NAL,胰岛素输注泵,胰岛素给药装置,1,1,10,46,57
帕拉迪姆实时胰岛素输注泵 MMT-554CAH,胰岛素输注泵,胰岛素给药装置,1,0,0,57,57
PDSII 可吸收缝合线 27英寸 4-0 RB-1,可吸收缝合线,手术缝合材料,1,0,0,57,57
宾得视频食管镜,内窥镜,内窥镜系统,1,0,2,55,57
珀莫比尔C500电动轮椅,电动轮椅,移动辅助设备,1,2,9,46,57
PFNA-II 髓内钉刀片 L85 TAN,髓内钉系统,骨科内固定植入物,1,0,17,40,57
PG Pro 18G 10cm 基本型血管导管,短期血管导管,血管内导管,1,0,8,49,57
Pin Rev 圆顶钻头 30mm,骨科钻头,骨科手术工具,1,0,0,57,57
Pinnacle 髋臼内衬 32内径x52外径,髋臼内衬,髋关节假体,1,0,57,0,57
Powerline 慢性导管,长期血管导管,血管内导管,1,0,9,48,57
Premicath 长期血管内导管,长期血管导管,血管内导管,1,2,11,43,57
Prima 5.0x10mm Primaconnex 锥形植入物 TC,血管支架,血管介入器械,1,0,57,0,57
Prolene 蓝色不可吸收缝合线 24英寸 7-0 BV-1 EP,不可吸收缝合线,手术缝合材料,1,0,1,56,57
Prima Plus 植入物 5.0x11.5mm,血管支架,血管介入器械,1,0,57,0,57
Procuity 电动可调医院病床,电动病床,医院病床,1,0,3,54,57
ProGav 2.0 儿童脑积水分流系统 带SA20前腔,脑积水分流系统,神经外科植入物,1,1,55,1,57
Prolene 蓝色聚丙烯不可吸收缝合线 60cm 7-0 BV-1(2),不可吸收缝合线,手术缝合材料,1,0,0,57,57
Promark 牙髓治疗马达,牙科手机,牙科治疗设备,1,0,0,57,57
植入式鞘内导管套件,鞘内导管/输注系统,植入式给药装置,1,0,55,2,57
直线切割吻合器（厚组织）,直线切割吻合器,外科吻合器,1,0,4,53,57
可重复装载直线切割吻合器（带安全锁）,直线切割吻合器,外科吻合器,1,2,8,47,57
肺动脉瓣及管道（同种异体移植物）,心脏瓣膜/管道,心脏植入物,1,4,53,0,57
脉冲发生器 101型,脉冲发生器,神经刺激器/起搏器,1,4,24,22,57
脉冲发生器 102R型,脉冲发生器,神经刺激器/起搏器,1,4,40,13,57
高级便携式吸奶器套装,吸奶器,母乳喂养辅助设备,1,0,13,44,57
胰岛素输注泵（配合有创血糖传感器使用）,胰岛素注射泵/输注系统,胰岛素给药装置,1,1,29,27,57
翻新胰岛素泵 512型,胰岛素注射泵/输注系统,胰岛素给药装置,1,3,51,3,57
克氏针/骨针耦合器（1.5-4.0mm）,骨科动力工具附件,骨科手术器械,1,0,0,57,57
髋关节锉头 58mm,髋关节手术器械/试模,骨科植入物及器械,1,0,0,57,57
根管锉 R-Pilot 6X（25mm，无菌）,根管治疗器械,牙科器械,1,0,4,53,57
彩虹血氧仪,血氧仪,患者监护设备,1,0,0,57,57
快速交换球囊扩张导管（外周）,外周血管球囊导管,血管介入器械,1,0,14,43,57
可调节胃束带,胃束带/减重植入物,减重手术植入物,1,0,40,17,57
抗生素骨水泥 Refobacin 1x40-3,骨水泥（含抗生素）,骨科植入物材料,1,3,1,53,57
翻新电动可调节病床,电动病床,医院病床及附件,1,0,0,57,57
高流量微导管 Renegade,微导管/连续冲洗导管,血管介入器械,1,1,9,47,57
电切镜鞘 24Fr,宫腔镜及附件,内窥镜手术器械,1,0,20,37,57
Rifton 转移/移动辅助装置,患者转移/移动设备,康复及护理设备,1,0,2,55,57
Roadrunner 亲水导丝,导丝/引导导管,介入导管及附件,1,0,0,57,57
罗氏 9180 电解质分析仪,电解质分析仪,临床检验分析仪器,1,0,0,57,57
S-种植体 3.3mm RN SLActive 12mm,牙科种植体,口腔植入物,1,0,57,0,57
SD 螺丝刀杆 T4 50 自锁六角,骨科手术器械,手术器械,1,0,0,57,57
Guardian 4 葡萄糖传感器 MMT-7040C2 5支装,动态血糖监测传感器,血糖监测系统,1,0,2,55,57
葡萄糖传感器 MMT-7002C 10支装,动态血糖监测传感器,血糖监测系统,1,0,47,10,57
Seprafilm 防粘连膜,防粘连材料,外科植入材料,1,1,55,0,57
Series 7000 标准胫骨假体,膝关节假体,骨科植入物,1,0,54,3,57
腹腔镜摄像头镜头维修替换件,腹腔镜系统配件,内窥镜手术系统,1,0,0,57,57
Seven 内六角种植体 5 L8 无倒角 WP,牙科种植体,口腔植入物,1,0,57,0,57
Seven 内六角种植体 直径6 长度6mm,牙科种植体,口腔植入物,1,0,57,0,57
Seven 内六角种植体 直径6 长度11.5mm,牙科种植体,口腔植入物,1,0,57,0,57
PDS+ 可吸收缝线 24英寸 1根,可吸收缝合线,手术缝合材料,1,0,13,44,57
Shockwave M5+ 外周血管内碎石导管,血管内碎石导管,介入治疗导管,1,5,12,40,57
Sigma HP 胫骨龙骨冲头打击器,膝关节手术器械,骨科手术器械,1,0,0,57,57
丝线缝合线,非吸收缝合线,手术缝合材料,1,0,5,52,57
丝线缝合线 30英寸 2-0 黑色,非吸收缝合线,手术缝合材料,1,0,1,56,57
Simply Iconic SBM 种植体 4.2x3.0 平台 8mm,牙科种植体,口腔植入物,1,0,57,0,57
滑动核心 UHMWPE 8mm,膝关节假体,骨科植入物,1,0,55,2,57
SmartSet GMV 骨水泥 40g,骨水泥,骨科植入材料,1,0,57,0,57
骨固定板,骨科内固定系统,骨科植入物,1,0,1,56,57
舒适型造口袋,造口护理产品,伤口及造口护理,1,0,5,52,57
一次性无刀穿刺器,腹腔镜穿刺器,微创手术器械,1,0,5,50,57
核医学设备,核医学成像系统,医学影像设备,1,0,1,52,57
脊柱重建系统横连杆,脊柱内固定系统,骨科植入物,1,0,4,53,57
对流式加温仪,患者加温系统,体温管理设备,1,0,2,55,57
棘突间PEEK撑开器,脊柱非融合固定系统,骨科植入物,1,0,54,3,57
非合成外科网片,盆底修复网片,妇科植入物,1,0,57,0,57
葡萄糖传感器发射器 MMT-7841ZW,连续血糖监测系统,血糖监测设备,1,0,1,56,57
BRK系列房间隔穿刺针,穿刺针/套管针,介入手术器械,1,4,51,2,57
Trident 0度约束型髋臼内衬 22E,髋关节假体组件,骨科植入物,1,0,55,2,57
Trident 0度约束型髋臼内衬 28F,髋关节假体组件,骨科植入物,1,0,51,6,57
Trident 10度 X3髋臼内衬 32mm内径,髋关节假体组件,骨科植入物,1,0,37,20,57
超薄钻石球囊扩张导管,外周血管球囊扩张导管,血管介入器械,1,2,19,36,57
超声外科手术刀头 5mm 内镜用,超声手术器械,外科手术器械,1,0,3,53,57
UniCel DxL 600 Access 免疫分析系统,全自动免疫分析仪,临床检验分析仪器,1,0,0,57,57
股骨颈系统（FNS）髓内钉,髓内钉系统,骨科内固定植入物,1,0,57,0,57
导向套筒,骨科手术导向器械,骨科手术器械,1,0,10,47,57
胸腰椎椎弓根螺钉,椎弓根螺钉系统,脊柱内固定植入物,1,0,56,1,57
Arctic Sun 5000 体温调节系统,体温管理设备,生命支持与治疗设备,1,0,0,57,57
DePuy Duraloc 髋臼内衬,髋关节假体组件,骨科植入物,1,0,56,1,57
M2a Magnum 髋臼组件,髋关节假体组件,骨科植入物,1,1,56,0,57
BD 真空采血管,真空采血管,标本采集容器,1,0,0,57,57
BD Vacutainer 真空采血管,真空采血管,标本采集容器,1,0,0,57,57
V3 B+ 锥形种植体 直径4.30mm 长度11.5mm,牙种植体,口腔科植入物,1,0,57,0,57
Vaccess 经皮腔内血管成形球囊扩张导管,外周血管球囊扩张导管,血管介入器械,1,0,11,46,57
史密斯医疗CADD Solis VIP输液泵,输液泵/注射泵,输液与注射装置,1,0,0,57,57
SonicBeat 5mm 35cm前握式超声手术刀,超声手术器械,外科手术器械,1,0,0,57,57
SpaceMaker结构球囊穿刺器,腹腔镜穿刺器,腹腔镜手术器械,1,0,1,56,57
Spectranetics Turbo Elite激光消融导管,激光消融导管,血管介入器械,1,3,25,29,57
脊柱与创伤3D导航软件（版本2.6）,手术导航系统,手术导航与机器人系统,1,0,54,3,57
Strata NSC标准型分流阀,脑脊液分流系统,神经外科植入物,1,1,25,31,57
133MX型可充注皮肤组织扩张器,组织扩张器,整形与重建外科器械,1,0,46,11,57
SureLife高级腕式血压计,无创血压监测设备,生命体征监测设备,1,0,0,57,57
SutureFix Ultra AHR S 2 UB 蓝色不可吸收软组织固定钉,软组织固定钉/锚,骨科与运动医学植入物,1,0,28,29,57
Synchro-14直型导丝 300-35cm,导丝,血管介入器械,1,0,21,36,57
Taxus Liberte Atom紫杉醇洗脱冠状动脉支架系统,药物洗脱冠状动脉支架,冠状动脉介入器械,1,0,33,24,57
TDXSP电动轮椅底座（含24组电池）,电动轮椅,移动与康复辅助设备,1,0,2,55,57
Teligen植入式心脏起搏器,植入式心脏起搏器,心脏节律管理设备,1,0,45,12,57
泰尔茂Surflo静脉留置针,静脉留置针/导管,血管通路器械,1,0,17,40,57
TFL激光无线脚踏开关,激光手术系统配件,外科手术器械,1,0,0,57,57
Therakos Cellex系统,体外光分离置换系统,血液净化与治疗设备,1,0,3,53,57
Thunderbeat 5mm 35cm前握式超声刀手柄,超声手术器械,外科手术器械,1,0,0,57,57
TLC SP 3.3mm颈 SLActive 10mm骨内牙种植体,骨内牙种植体,牙科植入物,1,0,57,0,57
TLX SP 6.5mm宽体 SLActive 6mm骨内牙种植体,骨内牙种植体,牙科植入物,1,0,57,0,57
ASR全髋关节置换股骨假体 43号,全髋关节置换系统,骨科关节植入物,1,0,57,0,57
临床化学分析仪,生化分析仪,临床检验设备,4,0,0,56,56
牙种植体（根形）,牙种植体,口腔种植器械,3,0,56,0,56
耳鼻喉科气动手术钻手柄,耳鼻喉科手术钻,耳鼻喉科手术器械,2,0,0,56,56
一次性使用外科吻合器,外科吻合器,外科手术器械,2,0,2,54,56
雾化器,雾化装置,呼吸治疗设备,2,0,3,5,56
HeartMate II 左心室辅助系统,心室辅助装置,循环支持设备,2,3,25,27,56
全自动血细胞分析仪,血细胞分析仪,临床检验设备,2,0,0,56,56
锥形牙种植体,牙种植体系统,口腔植入物,2,0,56,0,56
Stealth 外周动脉粥样硬化切除导管,动脉粥样硬化切除导管,血管介入器械,1,1,38,17,56
可操控导引导管,导引导管,血管介入器械,1,1,33,22,56
Stryker AHTO 吸引管套装,手术吸引装置,手术器械,1,0,2,54,56
Super Poligrip 假牙粘合剂,假牙护理产品,口腔护理用品,1,0,0,0,56
Sure Life 血压计,血压监测设备,生命体征监测设备,1,0,0,56,56
SurgiMend 外科补片,外科补片,植入性外科材料,1,0,6,1,56
SurgiWrap 外科补片,外科补片,植入性外科材料,1,0,43,1,56
Sustain XL SR 植入式起搏脉冲发生器,植入式起搏器,心脏节律管理设备,1,0,12,44,56
Swan-Ganz CCombo V 热稀释导管,肺动脉导管,血流动力学监测导管,1,0,8,48,56
膝关节髌骨组件,膝关节假体组件,骨科植入物,1,0,55,1,56
飞利浦DreamStation呼吸机,持续气道正压通气设备,呼吸治疗设备,1,2,43,11,56
飞利浦Sonicare钻石亮白电动牙刷,电动牙刷,口腔护理设备,1,0,25,31,56
PICO 7负压伤口治疗泵（10cm x 30cm）,负压伤口治疗系统,伤口护理设备,1,0,17,39,56
PINNACLE 300髋臼杯（52mm）,髋关节假体组件,骨科植入物,1,0,54,2,56
PINNACLE髋臼内衬（36mm内径x56mm外径）,髋关节假体组件,骨科植入物,1,0,52,4,56
POD5人绒毛膜促性腺激素检测试剂,妊娠检测试剂,体外诊断试剂,1,0,3,53,56
聚氨酯造影注射管路,造影注射管路,介入耗材,1,0,0,56,56
Posey 8070约束床,约束床,病房护理设备,1,0,3,53,56
PowerPICC Solo 3CG TPS 4F经外周中心静脉导管套件,中心静脉导管,血管内导管,1,0,7,49,56
Aeris G8压力导丝,压力导丝,介入诊断导管,1,0,54,2,56
Tritanium半髋臼杯（54mm）,髋关节假体组件,骨科植入物,1,0,47,8,56
Tritanium半髋臼杯（56mm）,髋关节假体组件,骨科植入物,1,0,54,2,56
PRISM 6通道免疫分析仪,免疫分析仪,临床检验设备,1,0,2,54,56
聚丙烯不可吸收缝线（7-0，24英寸，BV-1针）,不可吸收缝线,手术缝合材料,1,0,1,55,56
PRIMA PLUS种植体（4.1mm x 8.0mm）,牙种植体,口腔植入物,1,0,56,0,56
Pro-padz透X线固体凝胶电极（单片）,除颤/起搏电极,心脏急救设备配件,1,0,19,37,56
Propaq MD除颤起搏监护仪,除颤起搏监护仪,心脏急救设备,1,0,0,56,56
Protos DR/CLS双腔起搏器,心脏起搏器,心脏植入式电子设备,1,0,11,34,56
宫腔镜流体管理系统配件,宫腔镜手术系统,内窥镜手术设备,1,0,2,54,56
注射器 0.3ml 30G 8mm,注射器,注射/输液器具,1,0,0,56,56
活塞注射器 0.3ml 31G 6mm,注射器,注射/输液器具,1,0,2,54,56
活塞注射器 10ml 鲁尔锁,注射器,注射/输液器具,1,0,0,56,56
活塞注射器 20ml 鲁尔锁,注射器,注射/输液器具,1,0,0,56,56
胸骨锯系统,骨科动力工具,骨科手术器械,1,0,0,56,56
骨内牙种植体 3.3mm x 10mm,牙种植体,口腔植入物,1,0,56,0,56
硬性内窥镜 4mm 30° 高清,硬性内窥镜,内窥镜设备,1,0,0,56,56
快速妊娠检测试纸,妊娠检测试剂,体外诊断试剂,1,0,0,25,56
放射性微球植入物,放射性栓塞微球,介入治疗植入物,1,22,13,0,56
骨内牙种植体 4.0mm x 9mm,牙种植体,口腔植入物,1,0,56,0,56
骨内牙种植体 4.5mm x 6mm,牙种植体,口腔植入物,1,0,56,0,56
牙种植体 2.75mm x 10mm,牙种植体,口腔植入物,1,0,56,0,56
导管,导管,介入/血管内器械,1,1,8,47,56
连续流动导管 8Fr 80x30mm,导管,介入/血管内器械,1,4,6,43,56
三叶瓣膜,心脏瓣膜,心脏植入物,1,11,44,0,56
股骨转子髓内钉 10x170mm,髓内钉系统,骨科内固定植入物,1,1,48,7,56
宫腔镜手柄,宫腔镜手术系统,内窥镜手术设备,1,0,0,56,56
超声刀配件,超声手术刀,能量手术器械,1,0,7,49,56
输尿管支架,输尿管支架,泌尿外科植入物,1,0,14,42,56
可充电替换电池,电池/电源,医疗器械配件,1,0,0,56,56
超声乳化系统,超声乳化仪,眼科手术设备,1,0,14,40,56
髓内钉（TFNA拉力螺钉）,髓内钉系统,骨科内固定物,1,0,47,9,56
脊柱接骨板,接骨板,骨科内固定物,1,0,56,0,56
半限制型骨水泥膝关节假体（聚合物/金属）,膝关节假体,骨科关节植入物,1,0,56,0,56
髋臼内衬,髋臼假体组件,骨科关节植入物,1,0,56,0,56
髋关节内衬,髋臼假体组件,骨科关节植入物,1,0,56,0,56
植入式钉枪手柄,骨科手术器械,手术器械,1,1,7,47,56
牛津膝关节胫骨组件,膝关节假体,骨科关节植入物,1,0,56,0,56
腕部腕骨螺钉植入物,手部/腕部植入物,骨科植入物,1,0,56,0,56
